,configuration,rpm,feed_flow,p_ratio,p_out_psia,O2_product_flow,O2_product_O2,N2_product_flow,N2_product_O2,theta_1,theta_2,theta_3,theta_4,min_stage_cut,max_stage_cut,O2_flow_met,O2_purity_met,N2_flow_met,N2_purity_met,product_specs_met,stage_cuts_valid,stage_cut_penalty,ideal_power_kW
61,NOOO,2500,14100,5.260999999999999,77.33669999999998,1162.6914476524703,0.46412101920520965,7261.033049544084,0.08918397060217134,0.08246038635833122,0.1574233298802911,0.1728495192277191,0.19469476677257708,0.08246038635833122,0.19469476677257708,False,True,True,False,False,False,0.19257199776108155,55.21533295918379
62,NOOO,2500,14200,5.172,76.02839999999999,1137.379216893195,0.4634668817553677,7482.511277399931,0.0922609344001393,0.080097127950225,0.15297084443221223,0.16745506589231687,0.18771016461119136,0.080097127950225,0.18771016461119136,False,True,True,False,False,False,0.21176679711405458,54.89104271643894
63,NOOO,2500,14300,5.083,74.7201,1111.9832061134816,0.4627282799823414,7705.4067821681265,0.09536780457192726,0.07776106336457914,0.14857295604621276,0.16216810152876265,0.1809474860240228,0.07776106336457914,0.1809474860240228,False,True,True,False,False,False,0.2305503930364227,54.54775297577032
64,NOOO,2500,14400,4.994,73.4118,1086.5077388334355,0.46190200929129277,7929.731336852037,0.0985022592761896,0.07545192630787746,0.1442285144754274,0.15698431365583,0.1743936664562184,0.07545192630787746,0.1743936664562184,False,True,True,False,False,False,0.24894157910464682,54.185005444976795
65,NOOO,2500,14500,4.904999999999999,72.10349999999998,1060.95732115107,0.4609846556056395,8155.496574060998,0.10166193456223133,0.07316947042421172,0.1399364450248918,0.1518996647224653,0.16803645444638363,0.07316947042421172,0.16803645444638363,False,True,True,False,False,False,0.2669579653820476,53.80232100015475
66,NOOO,2500,14600,4.816,70.7952,1035.3366672829309,0.45997258060133805,8382.711369840754,0.1048443718402153,0.07091347036184457,0.13569574408599525,0.14691037666197077,0.16186460006489678,0.07091347036184457,0.16186460006489678,False,True,True,False,False,False,0.2846158088252927,53.39919831876732
67,NOOO,2500,14700,4.727,69.4869,1009.6507313539587,0.4588619057719037,8611.3821704836,0.10804702706457978,0.06868372322135774,0.1315054812044107,0.14201291722731618,0.1558677208600004,0.06868372322135774,0.1558677208600004,False,True,True,False,False,False,0.30193015748691504,52.97511239515491
68,NOOO,2500,14800,4.638,68.17859999999999,983.9047186460857,0.4576484962834935,8841.512795443386,0.11126726847339222,0.06648004855716795,0.12736479768153336,0.1372039912218125,0.1500362330771444,0.06648004855716795,0.1500362330771444,False,True,True,False,False,False,0.3189149294623419,52.52951292591533
69,NOOO,2500,14900,4.5489999999999995,66.87029999999999,958.1041545496927,0.4563279414165003,9073.106176248828,0.11450241232383185,0.06430229225165723,0.12327274697909137,0.13248054131664277,0.14436127348261904,0.06430229225165723,0.14436127348261904,False,True,True,False,False,False,0.3355831459699896,52.06182255096524
70,NOOO,2500,15000,4.46,65.562,932.2549531847825,0.4548955341927901,9306.157413317824,0.11774959312652443,0.06215033021231883,0.11922881426515147,0.12783973618998198,0.13883469899699694,0.06215033021231883,0.13883469899699694,False,True,True,False,False,False,0.3519464203355508,51.57143493423482
71,ONOO,2500,8000,7.75,113.925,3121.349936042048,0.34625507479019374,0.001289832095598185,0.005608459734950092,0.390168742005256,0.288527772224825,0.6971483803893144,0.9999999999927499,0.288527772224825,0.9999999999927499,False,False,False,True,False,False,0.8971483803820642,41.034436872451806
72,ONOO,2500,8100,7.726,113.5722,3116.5283307484815,0.3480192275100385,0.0013376194850980593,0.006071218323471169,0.38475658404302243,0.28248351896306745,0.6763374366558519,0.9999999999999998,0.28248351896306745,0.9999999999999998,False,False,False,True,False,False,0.8763374366558516,41.46427979624475
